"","date","visits","Page_Summary"
"1",2015-10-01,683,"1999_"
"2",2015-10-02,836,"1999_"
"3",2015-10-03,742,"1999_"
"4",2015-10-04,934,"1999_"
"5",2015-10-05,778,"1999_"
"6",2015-10-06,824,"1999_"
"7",2015-10-07,892,"1999_"
"8",2015-10-08,803,"1999_"
"9",2015-10-09,884,"1999_"
"10",2015-10-10,901,"1999_"
"11",2015-10-11,923,"1999_"
"12",2015-10-12,776,"1999_"
"13",2015-10-13,763,"1999_"
"14",2015-10-14,785,"1999_"
"15",2015-10-15,788,"1999_"
"16",2015-10-16,786,"1999_"
"17",2015-10-17,806,"1999_"
"18",2015-10-18,794,"1999_"
"19",2015-10-19,686,"1999_"
"20",2015-10-20,675,"1999_"
"21",2015-10-21,825,"1999_"
"22",2015-10-22,783,"1999_"
"23",2015-10-23,796,"1999_"
"24",2015-10-24,714,"1999_"
"25",2015-10-25,823,"1999_"
"26",2015-10-26,819,"1999_"
"27",2015-10-27,1039,"1999_"
"28",2015-10-28,758,"1999_"
"29",2015-10-29,795,"1999_"
"30",2015-10-30,978,"1999_"
"31",2015-10-31,783,"1999_"
"32",2015-11-01,831,"1999_"
"33",2015-11-02,828,"1999_"
"34",2015-11-03,775,"1999_"
"35",2015-11-04,721,"1999_"
"36",2015-11-05,677,"1999_"
"37",2015-11-06,716,"1999_"
"38",2015-11-07,723,"1999_"
"39",2015-11-08,780,"1999_"
"40",2015-11-09,874,"1999_"
"41",2015-11-10,724,"1999_"
"42",2015-11-11,783,"1999_"
"43",2015-11-12,833,"1999_"
"44",2015-11-13,993,"1999_"
"45",2015-11-14,655,"1999_"
"46",2015-11-15,730,"1999_"
"47",2015-11-16,714,"1999_"
"48",2015-11-17,671,"1999_"
"49",2015-11-18,705,"1999_"
"50",2015-11-19,726,"1999_"
"51",2015-11-20,716,"1999_"
"52",2015-11-21,655,"1999_"
"53",2015-11-22,850,"1999_"
"54",2015-11-23,811,"1999_"
"55",2015-11-24,703,"1999_"
"56",2015-11-25,717,"1999_"
"57",2015-11-26,653,"1999_"
"58",2015-11-27,657,"1999_"
"59",2015-11-28,823,"1999_"
"60",2015-11-29,853,"1999_"
"61",2015-11-30,1021,"1999_"
"62",2015-12-01,740,"1999_"
"63",2015-12-02,825,"1999_"
"64",2015-12-03,613,"1999_"
"65",2015-12-04,794,"1999_"
"66",2015-12-05,708,"1999_"
"67",2015-12-06,700,"1999_"
"68",2015-12-07,790,"1999_"
"69",2015-12-08,872,"1999_"
"70",2015-12-09,935,"1999_"
"71",2015-12-10,838,"1999_"
"72",2015-12-11,789,"1999_"
"73",2015-12-12,907,"1999_"
"74",2015-12-13,916,"1999_"
"75",2015-12-14,832,"1999_"
"76",2015-12-15,660,"1999_"
"77",2015-12-16,728,"1999_"
"78",2015-12-17,691,"1999_"
"79",2015-12-18,688,"1999_"
"80",2015-12-19,658,"1999_"
"81",2015-12-20,620,"1999_"
"82",2015-12-21,746,"1999_"
"83",2015-12-22,684,"1999_"
"84",2015-12-23,717,"1999_"
"85",2015-12-24,705,"1999_"
"86",2015-12-25,537,"1999_"
"87",2015-12-26,635,"1999_"
"88",2015-12-27,808,"1999_"
"89",2015-12-28,793,"1999_"
"90",2015-12-29,746,"1999_"
"91",2015-12-30,807,"1999_"
"92",2015-12-31,1198,"1999_"
"93",2016-01-01,1301,"1999_"
"94",2016-01-02,1037,"1999_"
"95",2016-01-03,829,"1999_"
"96",2016-01-04,657,"1999_"
"97",2016-01-05,802,"1999_"
"98",2016-01-06,760,"1999_"
"99",2016-01-07,879,"1999_"
"100",2016-01-08,891,"1999_"
"101",2016-01-09,748,"1999_"
"102",2016-01-10,788,"1999_"
"103",2016-01-11,776,"1999_"
"104",2016-01-12,742,"1999_"
"105",2016-01-13,713,"1999_"
"106",2016-01-14,705,"1999_"
"107",2016-01-15,735,"1999_"
"108",2016-01-16,745,"1999_"
"109",2016-01-17,766,"1999_"
"110",2016-01-18,742,"1999_"
"111",2016-01-19,787,"1999_"
"112",2016-01-20,669,"1999_"
"113",2016-01-21,743,"1999_"
"114",2016-01-22,788,"1999_"
"115",2016-01-23,861,"1999_"
"116",2016-01-24,794,"1999_"
"117",2016-01-25,653,"1999_"
"118",2016-01-26,724,"1999_"
"119",2016-01-27,725,"1999_"
"120",2016-01-28,814,"1999_"
"121",2016-01-29,741,"1999_"
"122",2016-01-30,932,"1999_"
"123",2016-01-31,912,"1999_"
"124",2016-02-01,769,"1999_"
"125",2016-02-02,703,"1999_"
"126",2016-02-03,725,"1999_"
"127",2016-02-04,721,"1999_"
"128",2016-02-05,887,"1999_"
"129",2016-02-06,1102,"1999_"
"130",2016-02-07,876,"1999_"
"131",2016-02-08,837,"1999_"
"132",2016-02-09,904,"1999_"
"133",2016-02-10,804,"1999_"
"134",2016-02-11,888,"1999_"
"135",2016-02-12,853,"1999_"
"136",2016-02-13,916,"1999_"
"137",2016-02-14,867,"1999_"
"138",2016-02-15,860,"1999_"
"139",2016-02-16,1836,"1999_"
"140",2016-02-17,1270,"1999_"
"141",2016-02-18,1211,"1999_"
"142",2016-02-19,1090,"1999_"
"143",2016-02-20,1104,"1999_"
"144",2016-02-21,1118,"1999_"
"145",2016-02-22,1099,"1999_"
"146",2016-02-23,947,"1999_"
"147",2016-02-24,1051,"1999_"
"148",2016-02-25,1002,"1999_"
"149",2016-02-26,923,"1999_"
"150",2016-02-27,1129,"1999_"
"151",2016-02-28,973,"1999_"
"152",2016-02-29,813,"1999_"
"153",2016-03-01,796,"1999_"
"154",2016-03-02,719,"1999_"
"155",2016-03-03,728,"1999_"
"156",2016-03-04,1039,"1999_"
"157",2016-03-05,1106,"1999_"
"158",2016-03-06,1034,"1999_"
"159",2016-03-07,878,"1999_"
"160",2016-03-08,815,"1999_"
"161",2016-03-09,693,"1999_"
"162",2016-03-10,748,"1999_"
"163",2016-03-11,805,"1999_"
"164",2016-03-12,797,"1999_"
"165",2016-03-13,842,"1999_"
"166",2016-03-14,849,"1999_"
"167",2016-03-15,739,"1999_"
"168",2016-03-16,776,"1999_"
"169",2016-03-17,732,"1999_"
"170",2016-03-18,618,"1999_"
"171",2016-03-19,946,"1999_"
"172",2016-03-20,979,"1999_"
"173",2016-03-21,808,"1999_"
"174",2016-03-22,783,"1999_"
"175",2016-03-23,797,"1999_"
"176",2016-03-24,844,"1999_"
"177",2016-03-25,827,"1999_"
"178",2016-03-26,934,"1999_"
"179",2016-03-27,795,"1999_"
"180",2016-03-28,725,"1999_"
"181",2016-03-29,775,"1999_"
"182",2016-03-30,807,"1999_"
"183",2016-03-31,856,"1999_"
"184",2016-04-01,811,"1999_"
"185",2016-04-02,963,"1999_"
"186",2016-04-03,745,"1999_"
"187",2016-04-04,771,"1999_"
"188",2016-04-05,737,"1999_"
"189",2016-04-06,734,"1999_"
"190",2016-04-07,796,"1999_"
"191",2016-04-08,721,"1999_"
"192",2016-04-09,796,"1999_"
"193",2016-04-10,795,"1999_"
"194",2016-04-11,768,"1999_"
"195",2016-04-12,752,"1999_"
"196",2016-04-13,736,"1999_"
"197",2016-04-14,748,"1999_"
"198",2016-04-15,1064,"1999_"
"199",2016-04-16,1442,"1999_"
"200",2016-04-17,816,"1999_"
"201",2016-04-18,829,"1999_"
"202",2016-04-19,786,"1999_"
"203",2016-04-20,759,"1999_"
"204",2016-04-21,138727,"1999_"
"205",2016-04-22,204758,"1999_"
"206",2016-04-23,100309,"1999_"
"207",2016-04-24,74098,"1999_"
"208",2016-04-25,54875,"1999_"
"209",2016-04-26,38516,"1999_"
"210",2016-04-27,30876,"1999_"
"211",2016-04-28,25113,"1999_"
"212",2016-04-29,20825,"1999_"
"213",2016-04-30,18140,"1999_"
"214",2016-05-01,15585,"1999_"
"215",2016-05-02,13072,"1999_"
"216",2016-05-03,9646,"1999_"
"217",2016-05-04,8864,"1999_"
"218",2016-05-05,8156,"1999_"
"219",2016-05-06,7309,"1999_"
"220",2016-05-07,7276,"1999_"
"221",2016-05-08,6442,"1999_"
"222",2016-05-09,6046,"1999_"
"223",2016-05-10,5699,"1999_"
"224",2016-05-11,5580,"1999_"
"225",2016-05-12,4812,"1999_"
"226",2016-05-13,4588,"1999_"
"227",2016-05-14,4541,"1999_"
"228",2016-05-15,5224,"1999_"
"229",2016-05-16,4266,"1999_"
"230",2016-05-17,3884,"1999_"
"231",2016-05-18,3543,"1999_"
"232",2016-05-19,3417,"1999_"
"233",2016-05-20,3392,"1999_"
"234",2016-05-21,3251,"1999_"
"235",2016-05-22,3311,"1999_"
"236",2016-05-23,3305,"1999_"
"237",2016-05-24,3185,"1999_"
"238",2016-05-25,2674,"1999_"
"239",2016-05-26,2734,"1999_"
"240",2016-05-27,2770,"1999_"
"241",2016-05-28,2511,"1999_"
"242",2016-05-29,2361,"1999_"
"243",2016-05-30,2503,"1999_"
"244",2016-05-31,2438,"1999_"
"245",2016-06-01,2220,"1999_"
"246",2016-06-02,2611,"1999_"
"247",2016-06-03,2940,"1999_"
"248",2016-06-04,2343,"1999_"
"249",2016-06-05,2232,"1999_"
"250",2016-06-06,2141,"1999_"
"251",2016-06-07,3248,"1999_"
"252",2016-06-08,2899,"1999_"
"253",2016-06-09,2460,"1999_"
"254",2016-06-10,1995,"1999_"
"255",2016-06-11,1927,"1999_"
"256",2016-06-12,1810,"1999_"
"257",2016-06-13,1594,"1999_"
"258",2016-06-14,1413,"1999_"
"259",2016-06-15,1524,"1999_"
"260",2016-06-16,1820,"1999_"
"261",2016-06-17,1542,"1999_"
"262",2016-06-18,2062,"1999_"
"263",2016-06-19,1422,"1999_"
"264",2016-06-20,1308,"1999_"
"265",2016-06-21,1521,"1999_"
"266",2016-06-22,1362,"1999_"
"267",2016-06-23,1305,"1999_"
"268",2016-06-24,1446,"1999_"
"269",2016-06-25,1308,"1999_"
"270",2016-06-26,1665,"1999_"
"271",2016-06-27,2107,"1999_"
"272",2016-06-28,1660,"1999_"
"273",2016-06-29,1709,"1999_"
"274",2016-06-30,1499,"1999_"
"275",2016-07-01,1500,"1999_"
"276",2016-07-02,1450,"1999_"
"277",2016-07-03,1248,"1999_"
"278",2016-07-04,1385,"1999_"
"279",2016-07-05,1377,"1999_"
"280",2016-07-06,1402,"1999_"
"281",2016-07-07,1282,"1999_"
"282",2016-07-08,1152,"1999_"
"283",2016-07-09,1186,"1999_"
"284",2016-07-10,1331,"1999_"
"285",2016-07-11,1140,"1999_"
"286",2016-07-12,1178,"1999_"
"287",2016-07-13,1152,"1999_"
"288",2016-07-14,1299,"1999_"
"289",2016-07-15,1173,"1999_"
"290",2016-07-16,1115,"1999_"
"291",2016-07-17,1370,"1999_"
"292",2016-07-18,1040,"1999_"
"293",2016-07-19,1051,"1999_"
"294",2016-07-20,1107,"1999_"
"295",2016-07-21,1263,"1999_"
"296",2016-07-22,959,"1999_"
"297",2016-07-23,1069,"1999_"
"298",2016-07-24,1016,"1999_"
"299",2016-07-25,1071,"1999_"
